Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603_1608Metric",49.517300,-70.777100,270.000000,bottom
"C2","0.1u","C_0603_1608Metric",49.149000,-61.785500,90.000000,bottom
"C3","0.1u","C_0603_1608Metric",59.461400,-63.360300,90.000000,bottom
"C4","10u","C_0603_1608Metric",57.696100,-72.974200,180.000000,bottom
"C5","22p","C_0603_1608Metric",50.893980,-59.062620,90.000000,bottom
"C6","22p","C_0603_1608Metric",57.541160,-59.047380,270.000000,bottom
"C7","1u","C_0603_1608Metric",47.650400,-70.789800,270.000000,bottom
"C8","4.7u","C_0603_1608Metric",47.673260,-37.993320,0.000000,bottom
"D1","D_Small","D_SOD-123",39.608760,-39.395400,90.000000,bottom
"D2","D_Small","D_SOD-123",58.661300,-39.395400,90.000000,bottom
"D3","D_Small","D_SOD-123",77.800200,-39.395400,90.000000,bottom
"D4","D_Small","D_SOD-123",96.888300,-39.395400,90.000000,bottom
"D5","D_Small","D_SOD-123",115.925600,-39.395400,90.000000,bottom
"D6","D_Small","D_SOD-123",134.975600,-39.371000,90.000000,bottom
"D7","D_Small","D_SOD-123",154.101800,-39.382700,90.000000,bottom
"D8","D_Small","D_SOD-123",173.126400,-39.382700,90.000000,bottom
"D9","D_Small","D_SOD-123",192.189100,-39.382700,90.000000,bottom
"D10","D_Small","D_SOD-123",211.226400,-39.382700,90.000000,bottom
"D11","D_Small","D_SOD-123",230.136700,-39.382700,90.000000,bottom
"D12","D_Small","D_SOD-123",249.237500,-39.395400,90.000000,bottom
"D13","D_Small","D_SOD-123",268.287500,-39.395400,90.000000,bottom
"D14","D_Small","D_SOD-123",296.964100,-39.395400,90.000000,bottom
"D15","D_Small","D_SOD-123",325.462900,-39.395400,90.000000,bottom
"D16","D_Small","D_SOD-123",43.573700,-58.470800,90.000000,bottom
"D17","D_Small","D_SOD-123",68.287900,-58.470800,90.000000,bottom
"D18","D_Small","D_SOD-123",87.325200,-58.470800,90.000000,bottom
"D19","D_Small","D_SOD-123",106.324400,-58.470800,90.000000,bottom
"D20","D_Small","D_SOD-123",125.285500,-58.470800,90.000000,bottom
"D21","D_Small","D_SOD-123",144.424400,-58.470800,90.000000,bottom
"D22","D_Small","D_SOD-123",163.639500,-58.470800,90.000000,bottom
"D23","D_Small","D_SOD-123",182.575200,-58.470800,90.000000,bottom
"D24","D_Small","D_SOD-123",201.599800,-58.470800,90.000000,bottom
"D25","D_Small","D_SOD-123",220.751400,-58.470800,90.000000,bottom
"D26","D_Small","D_SOD-123",239.776000,-58.470800,90.000000,bottom
"D27","D_Small","D_SOD-123",258.826000,-58.470800,90.000000,bottom
"D28","D_Small","D_SOD-123",277.761700,-58.470800,90.000000,bottom
"D29","D_Small","D_SOD-123",293.319200,-58.470800,90.000000,bottom
"D30","D_Small","D_SOD-123",325.335900,-58.470800,90.000000,bottom
"D31","D_Small","D_SOD-123",46.786800,-77.546200,90.000000,bottom
"D32","D_Small","D_SOD-123",72.986900,-77.546200,90.000000,bottom
"D33","D_Small","D_SOD-123",92.049600,-77.546200,90.000000,bottom
"D34","D_Small","D_SOD-123",111.048800,-77.546200,90.000000,bottom
"D35","D_Small","D_SOD-123",130.187700,-77.546200,90.000000,bottom
"D36","D_Small","D_SOD-123",149.136100,-77.546200,90.000000,bottom
"D37","D_Small","D_SOD-123",168.249600,-77.546200,90.000000,bottom
"D38","D_Small","D_SOD-123",187.223400,-77.546200,90.000000,bottom
"D39","D_Small","D_SOD-123",206.349600,-77.546200,90.000000,bottom
"D40","D_Small","D_SOD-123",225.348800,-77.546200,90.000000,bottom
"D41","D_Small","D_SOD-123",244.475000,-77.546200,90.000000,bottom
"D42","D_Small","D_SOD-123",263.461500,-77.546200,90.000000,bottom
"D43","D_Small","D_SOD-123",282.498800,-77.546200,90.000000,bottom
"D44","D_Small","D_SOD-123",325.361300,-77.546200,90.000000,bottom
"D45","D_Small","D_SOD-123",42.100500,-96.621600,90.000000,bottom
"D46","D_Small","D_SOD-123",63.512700,-96.621600,90.000000,bottom
"D47","D_Small","D_SOD-123",82.550000,-96.621600,90.000000,bottom
"D48","D_Small","D_SOD-123",101.511100,-96.621600,90.000000,bottom
"D49","D_Small","D_SOD-123",120.738900,-96.621600,90.000000,bottom
"D50","D_Small","D_SOD-123",139.788900,-96.621600,90.000000,bottom
"D51","D_Small","D_SOD-123",158.711900,-96.621600,90.000000,bottom
"D52","D_Small","D_SOD-123",177.761900,-96.621600,90.000000,bottom
"D53","D_Small","D_SOD-123",196.938900,-96.621600,90.000000,bottom
"D54","D_Small","D_SOD-123",216.052400,-96.621600,90.000000,bottom
"D55","D_Small","D_SOD-123",234.975400,-96.621600,90.000000,bottom
"D56","D_Small","D_SOD-123",254.127000,-96.621600,90.000000,bottom
"D57","D_Small","D_SOD-123",280.428700,-96.621600,90.000000,bottom
"D58","D_Small","D_SOD-123",306.438300,-96.621600,90.000000,bottom
"D59","D_Small","D_SOD-123",325.462900,-96.621600,90.000000,bottom
"D60","D_Small","D_SOD-123",44.475400,-115.658900,90.000000,bottom
"D61","D_Small","D_SOD-123",70.726300,-115.658900,90.000000,bottom
"D62","D_Small","D_SOD-123",94.589600,-115.658900,90.000000,bottom
"D63","D_Small","D_SOD-123",161.137600,-115.658900,90.000000,bottom
"D64","D_Small","D_SOD-123",232.778300,-115.658900,90.000000,bottom
"D65","D_Small","D_SOD-123",249.415300,-115.658900,90.000000,bottom
"D66","D_Small","D_SOD-123",268.287500,-115.658900,90.000000,bottom
"D67","D_Small","D_SOD-123",287.274000,-115.658900,90.000000,bottom
"D68","D_Small","D_SOD-123",306.463700,-115.658900,90.000000,bottom
"D69","D_Small","D_SOD-123",325.424800,-115.658900,90.000000,bottom
"D70","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",34.300000,-44.500000,0.000000,bottom
"D71","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",80.500000,-44.500000,0.000000,bottom
"D72","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",119.000000,-44.500000,0.000000,bottom
"D73","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.500000,-44.500000,0.000000,bottom
"D74","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",196.000000,-44.500000,0.000000,bottom
"D75","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",234.500000,-44.500000,0.000000,bottom
"D76","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",273.000000,-44.500000,0.000000,bottom
"D77","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",319.200000,-44.500000,0.000000,bottom
"D78","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",319.200000,-101.800000,0.000000,bottom
"D79","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",273.000000,-101.800000,0.000000,bottom
"D80","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",234.500000,-101.800000,0.000000,bottom
"D81","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",196.000000,-101.800000,0.000000,bottom
"D82","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.500000,-101.800000,0.000000,bottom
"D83","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",119.000000,-101.800000,0.000000,bottom
"D84","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",80.500000,-101.800000,0.000000,bottom
"D85","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",39.600000,-101.800000,0.000000,bottom
"F1","1A","Fuse_0805_2012Metric",48.234600,-42.494200,270.000000,bottom
"FB1","100r @ 100 Mhz","L_0805_2012Metric",46.380400,-44.500800,270.000000,bottom
"R1","10k","R_0603_1608Metric",60.083700,-71.666100,90.000000,bottom
"R2","22r","R_0603_1608Metric",42.796460,-41.976040,90.000000,bottom
"R3","22r","R_0603_1608Metric",44.696380,-41.981120,90.000000,bottom
"R4","5.1k","R_0603_1608Metric",35.092640,-40.215820,270.000000,bottom
"R5","5.1k","R_0603_1608Metric",48.755300,-29.433520,270.000000,bottom
"R6","10k","R_0603_1608Metric",47.500000,-49.900000,180.000000,bottom
"SW1","SW_Push","TS-1187A-B-A-B",30.100000,-59.475000,180.000000,bottom
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",54.406800,-67.437000,0.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",43.743880,-36.880800,270.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",42.544800,-24.850600,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",54.201060,-59.275980,180.000000,bottom
